,cluster
cell_1117,Cluster 3
cell_1118,Cluster 3
cell_1119,Cluster 12
cell_1120,Cluster 5
cell_1121,Cluster 1
cell_1122,Cluster 1
cell_1123,Cluster 9
cell_1124,Cluster 1
cell_1125,Cluster 1
cell_1126,Cluster 14
cell_1127,Cluster 1
cell_1128,Cluster 14
cell_1129,Cluster 14
cell_1130,Cluster 14
cell_1131,Cluster 5
cell_1132,Cluster 1
cell_1133,Cluster 1
cell_1134,Cluster 14
cell_1135,Cluster 14
cell_1136,Cluster 14
cell_1137,Cluster 14
cell_1138,Cluster 1
cell_1139,Cluster 14
cell_1140,Cluster 1
cell_1141,Cluster 1
cell_1142,Cluster 1
cell_1143,Cluster 14
cell_1144,Cluster 1
cell_1145,Cluster 14
cell_1146,Cluster 1
cell_1147,Cluster 1
cell_1148,Cluster 10
cell_1149,Cluster 1
cell_1150,Cluster 10
